"df","AIC"
"fit_lm_S1",3,220.133235624822
"fit_lm_RBD",3,199.356114113137
"fit_lm_S1_RBD",4,201.220439164198
"fit_gam_S1_RBD",18.2498570209949,199.342805445102
"fit_GCV_Cp",18.2498570209949,199.342805445102
"fit_REML",18.2498570209949,199.342805445102
"fit_ML",18.2498570209949,199.342805445102
